epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,61.0155,1.12319,0.24672,0.34634,7.6367,0.000151564,0.000151564,0.000151564
2,96.2187,0.23846,0.24613,0.31432,9.86071,0.000273211,0.000273211,0.000273211
3,129.324,0.15775,0.24732,0.33993,11.2941,0.000364828,0.000364828,0.000364828
4,162.646,0.12009,0.24732,0.3377,12.0092,0.000319865,0.000319865,0.000319865
5,195.482,0.0982,0.24717,0.33249,12.3977,0.00027482,0.00027482,0.00027482
6,228.691,0.08007,0.24732,0.31581,13.3134,0.000229775,0.000229775,0.000229775
7,261.542,0.06721,0.24732,0.29765,13.7049,0.00018473,0.00018473,0.00018473
8,294.119,0.05784,0.24717,0.30986,13.6224,0.000139685,0.000139685,0.000139685
9,327.23,0.05454,0.24732,0.31179,13.7049,9.464e-05,9.464e-05,9.464e-05
10,360.28,0.04946,0.24732,0.31313,13.7552,4.9595e-05,4.9595e-05,4.9595e-05
